ID,Term,Term Description,Course Reference Number,Part of Term,Course Number,Subject,Subject Description,Sequence Number,Campus Description,Schedule Type Description,Course Title,Credit Hours,Maximum Enrollment,Enrollment,Seats Available,Wait Capacity,Wait Count,Wait Available,Cross List,Cross List Capacity,Cross List Count,Cross List Available,Credit Hour High,Credit Hour Low,Credit Hour Indicator,Open Section,Link Identifier,Is Section Linked,Subject Course,Instructional Method,Instructional Method Description
157252,202530,Summer 2025,30084,M01,665,TEC,Teacher Education,01,Hilltop,Studio,Fluency and Comprehension for Linguistic Diverse Learners,,13,0,13,0,0,0,,,,,,3,,true,,false,TEC665,HY,Hybrid
157253,202530,Summer 2025,30085,M14,673,TEC,Teacher Education,01,Hilltop,Seminar,Curriculum: Currents and Controversies,,24,0,24,0,0,0,,,,,,3,,true,,false,TEC673,HY,Hybrid
157249,202530,Summer 2025,30081,M15,674,TEC,Teacher Education,01,Hilltop,Capstone,Curriculum Development and Design,,13,0,13,0,0,0,,,,,,3,,true,,false,TEC674,HY,Hybrid
157250,202530,Summer 2025,30082,M15,674,TEC,Teacher Education,02,Hilltop,Capstone,Curriculum Development and Design,,13,0,13,0,0,0,,,,,,3,,true,,false,TEC674,HY,Hybrid
157971,202530,Summer 2025,30216,4,131,THRS,Theology and Religious Studies,01,Online,Seminar,Queering Religion (CEL),,21,0,21,0,0,0,A3,21,0,21,,4,,true,,false,THRS131,RE,Online Synchronous
157833,202530,Summer 2025,30197,2,202,THRS,Theology and Religious Studies,01,Online,Lecture,Portraits of Christ: An Introduction to the Four Gospels.,,40,0,40,0,0,0,,,,,,4,,true,,false,THRS202,OL,Online Asynchronous
157834,202530,Summer 2025,30198,4,306,THRS,Theology and Religious Studies,01,Hilltop,Lecture,Theology in HIV/AIDS Contexts,,40,0,40,0,0,0,,,,,,4,,true,,false,THRS306,IP,In-Person
157835,202530,Summer 2025,30199,2,367,THRS,Theology and Religious Studies,01,Hilltop,Lecture,Intro to Buddhism,,40,0,40,0,0,0,,,,,,4,,true,,false,THRS367,IP,In-Person
157836,202530,Summer 2025,30200,3,388,THRS,Theology and Religious Studies,01,Hilltop,Lecture,"Religion, Psychology, Modern Literature",,40,0,40,0,0,0,,,,,,4,,true,,false,THRS388,IP,In-Person
157837,202530,Summer 2025,30201,3,404,THRS,Theology and Religious Studies,01,Online,Lecture,Environmental Ethics,,40,0,40,0,0,0,,,,,,4,,true,,false,THRS404,OL,Online Asynchronous
